hub_id,hub_type,zone_id,city,capacity,opened_year
H001W,Warehouse,Z001,London,1500,2018
H002W,Warehouse,Z002,London,1000,2024
H003W,Warehouse,Z003,London,1000,2019
H003C,ChargingHub,Z003,London,20,2021
H004W,Warehouse,Z004,London,500,2018
H005W,Warehouse,Z005,London,500,2021
H006W,Warehouse,Z006,London,1500,2024
H006C,ChargingHub,Z006,London,20,2022
H007W,Warehouse,Z007,Manchester,500,2018
H008W,Warehouse,Z008,Manchester,1500,2021
H008C,ChargingHub,Z008,Manchester,8,2021
H009W,Warehouse,Z009,Manchester,1500,2023
H010W,Warehouse,Z010,Manchester,500,2019
H010C,ChargingHub,Z010,Manchester,8,2023
H011W,Warehouse,Z011,Manchester,500,2024
H011C,ChargingHub,Z011,Manchester,20,2023
H012W,Warehouse,Z012,Manchester,200,2023
H012C,ChargingHub,Z012,Manchester,20,2024
H013W,Warehouse,Z013,Birmingham,500,2024
H013C,ChargingHub,Z013,Birmingham,8,2020
H014W,Warehouse,Z014,Birmingham,1500,2021
H014C,ChargingHub,Z014,Birmingham,4,2024
H015W,Warehouse,Z015,Birmingham,1000,2022
H016W,Warehouse,Z016,Birmingham,1000,2018
H016C,ChargingHub,Z016,Birmingham,20,2022
H017W,Warehouse,Z017,Birmingham,1000,2018
H017C,ChargingHub,Z017,Birmingham,12,2020
H018W,Warehouse,Z018,Birmingham,1000,2022
H018C,ChargingHub,Z018,Birmingham,8,2020
H019W,Warehouse,Z019,Leeds,1500,2024
H019C,ChargingHub,Z019,Leeds,20,2021
H020W,Warehouse,Z020,Leeds,200,2024
H020C,ChargingHub,Z020,Leeds,20,2024
H021W,Warehouse,Z021,Leeds,1000,2021
H021C,ChargingHub,Z021,Leeds,12,2022
H022W,Warehouse,Z022,Leeds,200,2020
H023W,Warehouse,Z023,Leeds,500,2020
H023C,ChargingHub,Z023,Leeds,8,2022
H024W,Warehouse,Z024,Leeds,200,2024
H024C,ChargingHub,Z024,Leeds,8,2023
H025W,Warehouse,Z025,Bristol,200,2020
H026W,Warehouse,Z026,Bristol,1000,2018
H026C,ChargingHub,Z026,Bristol,20,2023
H027W,Warehouse,Z027,Bristol,500,2022
H028W,Warehouse,Z028,Bristol,200,2024
H028C,ChargingHub,Z028,Bristol,20,2024
H029W,Warehouse,Z029,Bristol,1500,2024
H030W,Warehouse,Z030,Bristol,500,2021
H030C,ChargingHub,Z030,Bristol,4,2020
H031W,Warehouse,Z031,Glasgow,200,2023
H031C,ChargingHub,Z031,Glasgow,20,2023
H032W,Warehouse,Z032,Glasgow,1500,2023
H032C,ChargingHub,Z032,Glasgow,20,2021
H033W,Warehouse,Z033,Glasgow,1000,2021
H033C,ChargingHub,Z033,Glasgow,8,2020
H034W,Warehouse,Z034,Glasgow,200,2018
H034C,ChargingHub,Z034,Glasgow,4,2023
H035W,Warehouse,Z035,Glasgow,200,2018
H035C,ChargingHub,Z035,Glasgow,8,2022
H036W,Warehouse,Z036,Glasgow,200,2023
