zone_id,city,zone_name,population_density,is_problem_zone
Z001,London,London-Central,9270,0
Z002,London,London-North,2860,0
Z003,London,London-South,7390,0
Z004,London,London-East,7191,0
Z005,London,London-West,7734,0
Z006,London,London-Outer,8265,0
Z007,Manchester,Manchester-Central,2466,0
Z008,Manchester,Manchester-North,6426,0
Z009,Manchester,Manchester-South,7578,0
Z010,Manchester,Manchester-East,10322,0
Z011,Manchester,Manchester-West,3685,0
Z012,Manchester,Manchester-Outer,2769,0
Z013,Birmingham,Birmingham-Central,8949,0
Z014,Birmingham,Birmingham-North,4433,0
Z015,Birmingham,Birmingham-South,7311,0
Z016,Birmingham,Birmingham-East,7051,1
Z017,Birmingham,Birmingham-West,8420,0
Z018,Birmingham,Birmingham-Outer,3184,1
Z019,Leeds,Leeds-Central,6555,0
Z020,Leeds,Leeds-North,5385,0
Z021,Leeds,Leeds-South,8396,0
Z022,Leeds,Leeds-East,10666,0
Z023,Leeds,Leeds-West,11274,0
Z024,Leeds,Leeds-Outer,4558,0
Z025,Bristol,Bristol-Central,9849,0
Z026,Bristol,Bristol-North,4047,0
Z027,Bristol,Bristol-South,4747,0
Z028,Bristol,Bristol-East,11167,0
Z029,Bristol,Bristol-West,11998,0
Z030,Bristol,Bristol-Outer,2189,0
Z031,Glasgow,Glasgow-Central,4734,0
Z032,Glasgow,Glasgow-North,5005,0
Z033,Glasgow,Glasgow-South,6658,0
Z034,Glasgow,Glasgow-East,3899,1
Z035,Glasgow,Glasgow-West,9734,0
Z036,Glasgow,Glasgow-Outer,3267,1
